country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,sex
Belgium,1.16,1.17,1.15,1.53,1.29,1.41,1.2,1.08,0.97,1.24,Female
Bulgaria,6.82,6.5,5.95,6.49,5.93,7.91,6.71,6.45,8.13,9.5,Female
Czechia,7.49,8.64,7.05,7.49,6.3,6.31,6.61,6.19,6.01,5.96,Female
Denmark,1.66,2.8,2.08,2.61,1.76,2.07,1.49,1.98,1.47,1.99,Female
Germany,2.29,2.29,2.14,2.36,2.14,2.08,2.04,2.04,1.89,1.99,Female
Estonia,8.1,10.5,7.18,7.03,6.12,8.38,4.56,3.65,3.54,2.83,Female
Ireland,4.61,4.84,5.22,5.98,3.96,3.81,3.16,4.09,3.19,3.38,Female
Greece,3.47,4.23,3.43,4.11,4.52,3.58,4.29,3.32,4.07,4.75,Female
Spain,1.39,1.36,1.32,1.4,1.45,1.35,1.4,1.43,1.23,1.46,Female
France,0.94,0.94,1.0,0.88,0.84,0.95,1.12,1.16,1.05,1.01,Female
Croatia,4.87,4.45,4.77,4.68,3.52,3.38,3.21,3.49,2.8,2.86,Female
Italy,1.43,1.37,1.41,1.28,1.32,1.3,1.12,1.15,1.24,1.13,Female
Cyprus,0.64,0.31,0.32,1.24,1.24,0.91,0.29,0.3,1.17,2.02,Female
Latvia,21.42,21.93,21.5,19.63,17.76,16.12,16.7,16.51,13.59,17.49,Female
Lithuania,24.05,21.26,20.05,22.03,19.12,17.07,17.12,14.75,18.1,17.87,Female
Luxembourg,1.0,2.26,0.0,0.97,1.39,1.79,2.94,2.47,0.0,1.14,Female
Hungary,17.29,15.4,17.02,16.16,14.51,14.93,15.14,15.04,14.02,15.32,Female
Malta,6.31,2.13,3.38,3.61,5.98,7.89,3.18,4.92,5.38,2.64,Female
Netherlands,1.12,0.97,0.78,1.1,0.93,0.78,0.65,0.74,0.83,0.81,Female
Austria,2.77,2.3,2.39,2.38,2.18,2.17,2.86,2.24,2.04,2.02,Female
Poland,5.19,4.65,4.54,4.55,4.14,4.48,4.43,4.45,4.58,6.47,Female
Portugal,0.44,0.6,1.27,1.48,1.28,1.68,1.28,1.2,1.11,1.46,Female
Romania,9.54,9.18,8.85,8.37,8.32,7.19,8.4,8.1,8.74,10.07,Female
Slovenia,1.9,0.77,0.75,0.85,0.41,0.41,0.2,0.21,0.21,0.65,Female
Slovakia,9.75,10.4,8.87,10.83,10.33,10.73,8.24,10.28,12.13,12.35,Female
Finland,4.02,3.35,3.7,3.45,3.45,2.93,3.48,2.91,2.91,3.3,Female
Sweden,2.47,2.9,2.74,2.5,2.89,2.54,2.39,1.82,2.14,1.82,Female
Iceland,1.83,1.6,1.74,2.48,1.59,0.0,0.0,0.75,0.73,2.2,Female
Liechtenstein,5.82,6.11,0.0,0.0,0.0,0.0,0.0,5.66,0.0,5.23,Female
Norway,1.79,1.68,1.39,1.79,1.59,1.67,1.65,1.47,1.41,1.4,Female
Switzerland,1.3,1.87,1.36,1.08,1.28,1.06,1.19,1.3,0.95,0.97,Female
United Kingdom,4.8,4.83,4.62,4.98,4.91,4.62,4.5,,,,Female
Serbia,4.07,3.5,3.83,4.09,3.79,3.42,3.56,2.91,2.87,3.2,Female
Türkiye,3.91,4.51,4.3,4.33,4.16,4.07,3.71,3.38,3.86,3.98,Female
